# Master Index Workbench v2.0.0 (released 2026-07-12) — https://kr48vr.github.io/master-of-all-indices/
# Data license: CC BY-NC-SA 4.0 (compilation); individual values inherit source terms recorded in provenance
# A blank value is honest missing data (see the note column), never a zero.
city,measure_id,measure,area,subtheme,unit,direction,data_level,approx,value,year,source,note
Los Angeles,SMT-02,5G coverage,Smart,Connectivity,%,higher,Country proxy,none,96,2024,ITU DataHub — United States (U.S. Federal Communications Commission),COUNTRY proxy: national 5G population coverage (United States). Share of Locations.  Source:  FCC Broadband Data Collection (Preliminary and Subject to Change). #
Seattle,SMT-02,5G coverage,Smart,Connectivity,%,higher,Country proxy,none,96,2024,ITU DataHub — United States (U.S. Federal Communications Commission),COUNTRY proxy: national 5G population coverage (United States). Share of Locations.  Source:  FCC Broadband Data Collection (Preliminary and Subject to Change). #
Washington DC,SMT-02,5G coverage,Smart,Connectivity,%,higher,Country proxy,none,96,2024,ITU DataHub — United States (U.S. Federal Communications Commission),COUNTRY proxy: national 5G population coverage (United States). Share of Locations.  Source:  FCC Broadband Data Collection (Preliminary and Subject to Change). #
Sydney,SMT-02,5G coverage,Smart,Connectivity,%,higher,Country proxy,none,89,2024,"ITU DataHub — Australia (Department of Infrastructure, Transport, Regional Development and Communications)",COUNTRY proxy: national 5G population coverage (Australia). Source: Telstra Annual Report 2024
Auckland,SMT-02,5G coverage,Smart,Connectivity,%,higher,Country proxy,none,40.44,2024,ITU DataHub — New Zealand (Commerce Commission),COUNTRY proxy: national 5G population coverage (New Zealand).
Osaka,SMT-02,5G coverage,Smart,Connectivity,%,higher,Country proxy,none,96.6,2023,ITU DataHub — Japan (Ministry of Internal Affairs and Communications),COUNTRY proxy: national 5G population coverage (Japan). As of March 2024
Tel Aviv,SMT-02,5G coverage,Smart,Connectivity,%,higher,Country proxy,none,,n/a,"ITU DataHub — 'Population coverage, by mobile network technology', sub-series 'At least 5G' (% of population)","NULL (D11): Israel's only ITU figure is 30.0 from 2021 and is marked an ITU ESTIMATE - stale and likely far below current reality, so deliberately not recorded."
Hong Kong,SMT-02,5G coverage,Smart,Connectivity,%,higher,Country proxy,none,99,2024,"ITU DataHub — Hong Kong, China (Office of the Communications Authority)","COUNTRY proxy: national 5G population coverage (Hong Kong, China)."
Taipei,SMT-02,5G coverage,Smart,Connectivity,%,higher,Country proxy,none,98.17,2024,"ITU DataHub — Taiwan, Province of China (National Communications Commission)","COUNTRY proxy: national 5G population coverage (Taiwan, Province of China)."
Bangkok,SMT-02,5G coverage,Smart,Connectivity,%,higher,Country proxy,none,95,2024,ITU DataHub — Thailand (The National Broadcasting and Telecommunications Commission),COUNTRY proxy: national 5G population coverage (Thailand). Data from the largest mobile operator in Thailand
Kuala Lumpur,SMT-02,5G coverage,Smart,Connectivity,%,higher,Country proxy,none,82.4,2024,ITU DataHub — Malaysia (Malaysian Communications and Multimedia Commission),COUNTRY proxy: national 5G population coverage (Malaysia). Aggressive government initiatives to widen 5G network coverage nationwide.
Jakarta,SMT-02,5G coverage,Smart,Connectivity,%,higher,Country proxy,none,8.92,2024,ITU DataHub — Indonesia (Ministry of Communications and Informatics),COUNTRY proxy: national 5G population coverage (Indonesia). the infrastructure development is still in progress
Manila,SMT-02,5G coverage,Smart,Connectivity,%,higher,Country proxy,none,72.41,2024,ITU DataHub — Philippines (Department of Information and Communication Technology),COUNTRY proxy: national 5G population coverage (Philippines).
Ho Chi Minh City,SMT-02,5G coverage,Smart,Connectivity,%,higher,Country proxy,none,25.5,2024,ITU DataHub — Viet Nam (Ministry of Science and Technology),COUNTRY proxy: national 5G population coverage (Viet Nam).
Mumbai,SMT-02,5G coverage,Smart,Connectivity,%,higher,Country proxy,none,82.15,2024,ITU DataHub — India (Department of Telecommunications),COUNTRY proxy: national 5G population coverage (India). As in December 2024
Abu Dhabi,SMT-02,5G coverage,Smart,Connectivity,%,higher,Country proxy,none,99.46,2024,ITU DataHub — United Arab Emirates (Telecommunications Regulatory Authority),COUNTRY proxy: national 5G population coverage (United Arab Emirates).
Shanghai,SMT-02,5G coverage,Smart,Connectivity,%,higher,Country proxy,none,96,2024,ITU DataHub — China (Ministry of Industry and Information Technology),COUNTRY proxy: national 5G population coverage (China).
Beijing,SMT-02,5G coverage,Smart,Connectivity,%,higher,Country proxy,none,96,2024,ITU DataHub — China (Ministry of Industry and Information Technology),COUNTRY proxy: national 5G population coverage (China).
Shenzhen,SMT-02,5G coverage,Smart,Connectivity,%,higher,Country proxy,none,96,2024,ITU DataHub — China (Ministry of Industry and Information Technology),COUNTRY proxy: national 5G population coverage (China).
Delhi,SMT-02,5G coverage,Smart,Connectivity,%,higher,Country proxy,none,82.15,2024,ITU DataHub — India (Department of Telecommunications),COUNTRY proxy: national 5G population coverage (India). As in December 2024
Singapore,SMT-03,E-government,Smart,Digital Governance,index,higher,City,none,87.5,2024,"Table 12: Singapore (Singapore), Asia — LOSI 2024 = 0.8750, Rank 9; eGovKB city id 175 confirms 0.87500, rank 9",Verified in both PDF Table 12 and eGovKB city page.
Tokyo,SMT-03,E-government,Smart,Digital Governance,index,higher,City,none,85.42,2024,"Table 12: Tokyo (Japan), Asia — LOSI 2024 = 0.8542, Rank 13; eGovKB city id 42 confirms 0.85420, rank 13",Verified in both PDF Table 12 and eGovKB city page.
Copenhagen,SMT-03,E-government,Smart,Digital Governance,index,higher,City,none,90.63,2024,"Table 12: Copenhagen (Denmark), Europe — LOSI 2024 = 0.9063, Rank 4; eGovKB city id 111 confirms 0.90630, rank 4",Verified in both PDF Table 12 and eGovKB city page. PDF renders the city as 'copenhagen' due to a small-caps font quirk.
Zurich,SMT-03,E-government,Smart,Digital Governance,index,higher,City,none,81.25,2024,"Table 12: Zurich (Switzerland), Europe — LOSI 2024 = 0.8125, Rank 21; eGovKB city id 198 confirms 0.81250, rank 21",Verified in both PDF Table 12 and eGovKB city page.
Vienna,SMT-03,E-government,Smart,Digital Governance,index,higher,City,none,84.38,2024,"Table 12: Vienna (Austria), Europe — LOSI 2024 = 0.8438, Rank 16; eGovKB city id 6 confirms 0.84380, rank 16",Verified in both PDF Table 12 and eGovKB city page.
Seoul,SMT-03,E-government,Smart,Digital Governance,index,higher,City,none,87.5,2024,"Table 12: Seoul (Republic of Korea), Asia — LOSI 2024 = 0.8750, Rank 9; eGovKB city id 61 confirms 0.87500, rank 9",Verified in both PDF Table 12 and eGovKB city page.
Melbourne,SMT-03,E-government,Smart,Digital Governance,index,higher,City,none,,2024,"UN E-Government Survey 2024 — Local Online Service Index (LOSI), Technical Appendix Table 12 'Local Online Service Index and its components', cross-checked against UN eGovKB city pages",LOSI covers only the most populous city per UN member state; Melbourne absent from both PDF Table 12 and the eGovKB 193-city list. Null is correct.
Amsterdam,SMT-03,E-government,Smart,Digital Governance,index,higher,City,none,78.13,2024,"Table 12: Amsterdam (Netherlands), Europe — LOSI 2024 = 0.7813, Rank 35; eGovKB city id 53 confirms 0.78130, rank 35 (2022 rank 42)",Verified in both PDF Table 12 and eGovKB city page.
London,SMT-03,E-government,Smart,Digital Governance,index,higher,City,none,87.5,2024,"Table 12: London (United Kingdom of Great Britain and Northern Ireland), Europe — LOSI 2024 = 0.8750, Rank 9; eGovKB city id 79 confirms 0.87500, rank 9",Verified in both PDF Table 12 and eGovKB city page.
New York,SMT-03,E-government,Smart,Digital Governance,index,higher,City,none,90.63,2024,"Table 12: New York (United States of America), Americas — LOSI 2024 = 0.9063, Rank 4; eGovKB city id 81 confirms 0.90630, rank 4",Verified in both PDF Table 12 and eGovKB city page.
Paris,SMT-03,E-government,Smart,Digital Governance,index,higher,City,none,81.25,2024,"Table 12: Paris (France), Europe — LOSI 2024 = 0.8125, Rank 21; eGovKB city id 30 confirms 0.81250, rank 21",Verified in both PDF Table 12 and eGovKB city page.
Toronto,SMT-03,E-government,Smart,Digital Governance,index,higher,City,none,79.17,2024,"Table 12: Toronto (Canada), Americas — LOSI 2024 = 0.7917, Rank 32; eGovKB city id 17 confirms 0.79170, rank 32",Verified in both PDF Table 12 and eGovKB city page.
Berlin,SMT-03,E-government,Smart,Digital Governance,index,higher,City,none,88.54,2024,"Table 12: Berlin (Germany), Europe — LOSI 2024 = 0.8854, Rank 8; eGovKB city id 31 confirms 0.88540, rank 8 (also appears as sub-region leader on Amsterdam's page at 0.88540)",Verified in both PDF Table 12 and eGovKB city page.
Barcelona,SMT-03,E-government,Smart,Digital Governance,index,higher,City,none,,2024,"UN E-Government Survey 2024 — Local Online Service Index (LOSI), Technical Appendix Table 12 'Local Online Service Index and its components', cross-checked against UN eGovKB city pages",LOSI covers only the most populous city per UN member state; Barcelona absent from both PDF Table 12 and the eGovKB 193-city list. Null is correct.
Dubai,SMT-03,E-government,Smart,Digital Governance,index,higher,City,none,90.63,2024,"Table 12: Dubai (United Arab Emirates), Asia — LOSI 2024 = 0.9063, Rank 4; eGovKB city id 78 confirms 0.90630, rank 4 (2022 rank 5)",Verified in both PDF Table 12 and eGovKB city page.
San Francisco,SMT-03,E-government,Smart,Digital Governance,index,higher,City,none,,2024,"UN E-Government Survey 2024 — Local Online Service Index (LOSI), Technical Appendix Table 12 'Local Online Service Index and its components', cross-checked against UN eGovKB city pages",LOSI covers only the most populous city per UN member state; San Francisco absent from both PDF Table 12 and the eGovKB 193-city list. Null is correct.
Stockholm,SMT-03,E-government,Smart,Digital Governance,index,higher,City,none,80.21,2024,Stockholm (eGovKB id 70),"raw LOSI 0.8021, rank 27; verified identical in Technical Appendix Table 12 (UN E-Government Survey 2024) AND eGovKB city page dataYear/2024."
Oslo,SMT-03,E-government,Smart,Digital Governance,index,higher,City,none,78.13,2024,Oslo (eGovKB id 153),"raw LOSI 0.7813, rank 35; verified identical in Technical Appendix Table 12 (UN E-Government Survey 2024) AND eGovKB city page dataYear/2024."
Helsinki,SMT-03,E-government,Smart,Digital Governance,index,higher,City,none,81.25,2024,Helsinki (eGovKB id 29),"raw LOSI 0.8125, rank 21; verified identical in Technical Appendix Table 12 (UN E-Government Survey 2024) AND eGovKB city page dataYear/2024."
Madrid,SMT-03,E-government,Smart,Digital Governance,index,higher,City,none,92.71,2024,Madrid (eGovKB id 68),"raw LOSI 0.9271, rank 1; verified identical in Technical Appendix Table 12 (UN E-Government Survey 2024) AND eGovKB city page dataYear/2024."
Milan,SMT-03,E-government,Smart,Digital Governance,index,higher,City,none,,2024,"UN E-Government Survey 2024 — Local Online Service Index (LOSI), Technical Appendix Table 12 'Local Online Service Index and its components', cross-checked against UN eGovKB city pages",not assessed (not the country's most populous city)
Rome,SMT-03,E-government,Smart,Digital Governance,index,higher,City,none,81.25,2024,Roma (eGovKB id 41),"raw LOSI 0.8125, rank 21; verified identical in Technical Appendix Table 12 (UN E-Government Survey 2024) AND eGovKB city page dataYear/2024."
Munich,SMT-03,E-government,Smart,Digital Governance,index,higher,City,none,,2024,"UN E-Government Survey 2024 — Local Online Service Index (LOSI), Technical Appendix Table 12 'Local Online Service Index and its components', cross-checked against UN eGovKB city pages",not assessed (not the country's most populous city)
Frankfurt,SMT-03,E-government,Smart,Digital Governance,index,higher,City,none,,2024,"UN E-Government Survey 2024 — Local Online Service Index (LOSI), Technical Appendix Table 12 'Local Online Service Index and its components', cross-checked against UN eGovKB city pages",not assessed (not the country's most populous city)
Hamburg,SMT-03,E-government,Smart,Digital Governance,index,higher,City,none,,2024,"UN E-Government Survey 2024 — Local Online Service Index (LOSI), Technical Appendix Table 12 'Local Online Service Index and its components', cross-checked against UN eGovKB city pages",not assessed (not the country's most populous city)
Brussels,SMT-03,E-government,Smart,Digital Governance,index,higher,City,none,73.96,2024,Brussels (eGovKB id 10),"raw LOSI 0.7396, rank 43; verified identical in Technical Appendix Table 12 (UN E-Government Survey 2024) AND eGovKB city page dataYear/2024."
Dublin,SMT-03,E-government,Smart,Digital Governance,index,higher,City,none,68.75,2024,Dublin (eGovKB id 116),"raw LOSI 0.6875, rank 47; verified identical in Technical Appendix Table 12 (UN E-Government Survey 2024) AND eGovKB city page dataYear/2024."
Lisbon,SMT-03,E-government,Smart,Digital Governance,index,higher,City,none,70.83,2024,Lisbon (eGovKB id 60),"raw LOSI 0.7083, rank 45; verified identical in Technical Appendix Table 12 (UN E-Government Survey 2024) AND eGovKB city page dataYear/2024."
Prague,SMT-03,E-government,Smart,Digital Governance,index,higher,City,none,67.71,2024,Prague (eGovKB id 23),"raw LOSI 0.6771, rank 49; verified identical in Technical Appendix Table 12 (UN E-Government Survey 2024) AND eGovKB city page dataYear/2024."
Warsaw,SMT-03,E-government,Smart,Digital Governance,index,higher,City,none,77.08,2024,Warsaw (eGovKB id 59),"raw LOSI 0.7708, rank 37; verified identical in Technical Appendix Table 12 (UN E-Government Survey 2024) AND eGovKB city page dataYear/2024."
Istanbul,SMT-03,E-government,Smart,Digital Governance,index,higher,City,none,89.58,2024,Istanbul (eGovKB id 75),"raw LOSI 0.8958, rank 7; verified identical in Technical Appendix Table 12 (UN E-Government Survey 2024) AND eGovKB city page dataYear/2024."
Montreal,SMT-03,E-government,Smart,Digital Governance,index,higher,City,none,,2024,"UN E-Government Survey 2024 — Local Online Service Index (LOSI), Technical Appendix Table 12 'Local Online Service Index and its components', cross-checked against UN eGovKB city pages",not assessed (not the country's most populous city)
Vancouver,SMT-03,E-government,Smart,Digital Governance,index,higher,City,none,,2024,"UN E-Government Survey 2024 — Local Online Service Index (LOSI), Technical Appendix Table 12 'Local Online Service Index and its components', cross-checked against UN eGovKB city pages",not assessed (not the country's most populous city)
Chicago,SMT-03,E-government,Smart,Digital Governance,index,higher,City,none,,2024,"UN E-Government Survey 2024 — Local Online Service Index (LOSI), Technical Appendix Table 12 'Local Online Service Index and its components', cross-checked against UN eGovKB city pages",not assessed (not the country's most populous city)
Boston,SMT-03,E-government,Smart,Digital Governance,index,higher,City,none,,2024,"UN E-Government Survey 2024 — Local Online Service Index (LOSI), Technical Appendix Table 12 'Local Online Service Index and its components', cross-checked against UN eGovKB city pages",not assessed (not the country's most populous city)
Los Angeles,SMT-03,E-government,Smart,Digital Governance,index,higher,City,none,,2024,"UN E-Government Survey 2024 — Local Online Service Index (LOSI), Technical Appendix Table 12 'Local Online Service Index and its components', cross-checked against UN eGovKB city pages",not assessed (not the country's most populous city)
Seattle,SMT-03,E-government,Smart,Digital Governance,index,higher,City,none,,2024,"UN E-Government Survey 2024 — Local Online Service Index (LOSI), Technical Appendix Table 12 'Local Online Service Index and its components', cross-checked against UN eGovKB city pages",not assessed (not the country's most populous city)
Washington DC,SMT-03,E-government,Smart,Digital Governance,index,higher,City,none,,2024,"UN E-Government Survey 2024 — Local Online Service Index (LOSI), Technical Appendix Table 12 'Local Online Service Index and its components', cross-checked against UN eGovKB city pages",not assessed (not the country's most populous city)
Sydney,SMT-03,E-government,Smart,Digital Governance,index,higher,City,none,77.08,2024,Sydney (eGovKB id 5),"raw LOSI 0.7708, rank 37; verified identical in Technical Appendix Table 12 (UN E-Government Survey 2024) AND eGovKB city page dataYear/2024."
Auckland,SMT-03,E-government,Smart,Digital Governance,index,higher,City,none,80.21,2024,Auckland (eGovKB id 95),"raw LOSI 0.8021, rank 27; verified identical in Technical Appendix Table 12 (UN E-Government Survey 2024) AND eGovKB city page dataYear/2024."
Osaka,SMT-03,E-government,Smart,Digital Governance,index,higher,City,none,,2024,"UN E-Government Survey 2024 — Local Online Service Index (LOSI), Technical Appendix Table 12 'Local Online Service Index and its components', cross-checked against UN eGovKB city pages",not assessed (not the country's most populous city)
Tel Aviv,SMT-03,E-government,Smart,Digital Governance,index,higher,City,none,,2024,"UN E-Government Survey 2024 — Local Online Service Index (LOSI), Technical Appendix Table 12 'Local Online Service Index and its components', cross-checked against UN eGovKB city pages",not assessed (not the country's most populous city)
Hong Kong,SMT-03,E-government,Smart,Digital Governance,index,higher,City,none,,2024,"UN E-Government Survey 2024 — Local Online Service Index (LOSI), Technical Appendix Table 12 'Local Online Service Index and its components', cross-checked against UN eGovKB city pages",UN LOSI 2024 assesses one city per UN member state (the most populous); China's assessed city is Shanghai. Hong Kong SAR not assessed.
Taipei,SMT-03,E-government,Smart,Digital Governance,index,higher,City,none,,2024,"UN E-Government Survey 2024 — Local Online Service Index (LOSI), Technical Appendix Table 12 'Local Online Service Index and its components', cross-checked against UN eGovKB city pages",Taiwan is not covered by the UN E-Government Survey; no LOSI assessment.
Bangkok,SMT-03,E-government,Smart,Digital Governance,index,higher,City,none,66.67,2024,"UN LOSI 2024 (raw 0.6667, rank 51)","UN E-Government Survey 2024 Technical Appendix Table 12; cross-checked against eGovKB city page id/73-Bangkok/dataYear/2024 (0.6667, rank 51). Stored as raw x100."
Kuala Lumpur,SMT-03,E-government,Smart,Digital Governance,index,higher,City,none,59.38,2024,"UN LOSI 2024 (raw 0.5938, rank 62)","Malaysia's assessed LOSI city confirmed as Kuala Lumpur. Table 12 + eGovKB id/48-Kuala-Lumpur (0.5938, rank 62 match). Stored as raw x100."
Jakarta,SMT-03,E-government,Smart,Digital Governance,index,higher,City,none,68.75,2024,"UN LOSI 2024 (raw 0.6875, rank 47)","Table 12 + eGovKB id/38-Jakarta (0.6875, rank 47 match). Stored as raw x100."
Manila,SMT-03,E-government,Smart,Digital Governance,index,higher,City,none,60.42,2024,"UN LOSI 2024 — assessed city: Quezon City (raw 0.6042, rank 59)","WITHIN-METRO NOTE: the UN assessed Quezon City (the Philippines' most populous city, within Metro Manila), not the City of Manila; recorded under Manila per v1.0 precedent. Table 12 + eGovKB id/164-Quezon (0.6042, rank 5"
Ho Chi Minh City,SMT-03,E-government,Smart,Digital Governance,index,higher,City,none,63.54,2024,"UN LOSI 2024 (raw 0.6354, rank 53)","Viet Nam's assessed LOSI city confirmed as Ho Chi Minh City. Table 12 + eGovKB id/84-Ho-Chi-Minh (0.6354, rank 53 match). Stored as raw x100."
Mumbai,SMT-03,E-government,Smart,Digital Governance,index,higher,City,none,56.25,2024,"UN LOSI 2024 (raw 0.5625, rank 70)","India's assessed LOSI city confirmed as Mumbai (not Delhi). Table 12 + eGovKB id/37-Mumbai (0.5625, rank 70 match). Stored as raw x100."
Abu Dhabi,SMT-03,E-government,Smart,Digital Governance,index,higher,City,none,,2024,"UN E-Government Survey 2024 — Local Online Service Index (LOSI), Technical Appendix Table 12 'Local Online Service Index and its components', cross-checked against UN eGovKB city pages",UAE's assessed LOSI city is Dubai (already in dataset); Abu Dhabi not assessed.
Shanghai,SMT-03,E-government,Smart,Digital Governance,index,higher,City,none,86.46,2024,"UN LOSI 2024 (raw 0.8646, rank 12)","China's assessed LOSI city. Table 12 + eGovKB id/19-Shanghai (0.8646, rank 12 match). Stored as raw x100."
Beijing,SMT-03,E-government,Smart,Digital Governance,index,higher,City,none,,2024,"UN E-Government Survey 2024 — Local Online Service Index (LOSI), Technical Appendix Table 12 'Local Online Service Index and its components', cross-checked against UN eGovKB city pages",China's assessed LOSI city is Shanghai (most populous city rule); Beijing not assessed.
Shenzhen,SMT-03,E-government,Smart,Digital Governance,index,higher,City,none,,2024,"UN E-Government Survey 2024 — Local Online Service Index (LOSI), Technical Appendix Table 12 'Local Online Service Index and its components', cross-checked against UN eGovKB city pages",China's assessed LOSI city is Shanghai; Shenzhen not assessed.
Delhi,SMT-03,E-government,Smart,Digital Governance,index,higher,City,none,,2024,"UN E-Government Survey 2024 — Local Online Service Index (LOSI), Technical Appendix Table 12 'Local Online Service Index and its components', cross-checked against UN eGovKB city pages",India's assessed LOSI city is Mumbai (confirmed in Table 12); Delhi not assessed.
Singapore,SMT-04,Open data (national),Smart,Digital Governance,index,higher,Country proxy,none,90,2024/25,"ODIN 2024/25 — Singapore: overall 90.0 (coverage 84.0, openness 95.0, rank 1)","EXTENDED tier, COUNTRY proxy with concept drift: openness of NATIONAL official statistics, not municipal open data."
Tokyo,SMT-04,Open data (national),Smart,Digital Governance,index,higher,Country proxy,none,71,2024/25,"ODIN 2024/25 — Japan: overall 71.0 (coverage 67.0, openness 76.0, rank 48)","EXTENDED tier, COUNTRY proxy with concept drift: openness of NATIONAL official statistics, not municipal open data."
Copenhagen,SMT-04,Open data (national),Smart,Digital Governance,index,higher,Country proxy,none,89,2024/25,"ODIN 2024/25 — Denmark: overall 89.0 (coverage 83.0, openness 94.0, rank 4)","EXTENDED tier, COUNTRY proxy with concept drift: openness of NATIONAL official statistics, not municipal open data."
Zurich,SMT-04,Open data (national),Smart,Digital Governance,index,higher,Country proxy,none,66,2024/25,"ODIN 2024/25 — Switzerland: overall 66.0 (coverage 70.0, openness 64.0, rank 57)","EXTENDED tier, COUNTRY proxy with concept drift: openness of NATIONAL official statistics, not municipal open data."
Vienna,SMT-04,Open data (national),Smart,Digital Governance,index,higher,Country proxy,none,72,2024/25,"ODIN 2024/25 — Austria: overall 72.0 (coverage 65.0, openness 77.0, rank 44)","EXTENDED tier, COUNTRY proxy with concept drift: openness of NATIONAL official statistics, not municipal open data."
Seoul,SMT-04,Open data (national),Smart,Digital Governance,index,higher,Country proxy,none,75,2024/25,"ODIN 2024/25 — Korea, Rep.: overall 75.0 (coverage 58.0, openness 88.0, rank 33)","EXTENDED tier, COUNTRY proxy with concept drift: openness of NATIONAL official statistics, not municipal open data."
Melbourne,SMT-04,Open data (national),Smart,Digital Governance,index,higher,Country proxy,none,77,2024/25,"ODIN 2024/25 — Australia: overall 77.0 (coverage 66.0, openness 86.0, rank 24)","EXTENDED tier, COUNTRY proxy with concept drift: openness of NATIONAL official statistics, not municipal open data."
Amsterdam,SMT-04,Open data (national),Smart,Digital Governance,index,higher,Country proxy,none,82,2024/25,"ODIN 2024/25 — Netherlands: overall 82.0 (coverage 70.0, openness 92.0, rank 15)","EXTENDED tier, COUNTRY proxy with concept drift: openness of NATIONAL official statistics, not municipal open data."
London,SMT-04,Open data (national),Smart,Digital Governance,index,higher,Country proxy,none,70,2024/25,"ODIN 2024/25 — United Kingdom: overall 70.0 (coverage 61.0, openness 78.0, rank 49)","EXTENDED tier, COUNTRY proxy with concept drift: openness of NATIONAL official statistics, not municipal open data."
New York,SMT-04,Open data (national),Smart,Digital Governance,index,higher,Country proxy,none,78,2024/25,"ODIN 2024/25 — United States: overall 78.0 (coverage 70.0, openness 85.0, rank 21)","EXTENDED tier, COUNTRY proxy with concept drift: openness of NATIONAL official statistics, not municipal open data."
Paris,SMT-04,Open data (national),Smart,Digital Governance,index,higher,Country proxy,none,63,2024/25,"ODIN 2024/25 — France: overall 63.0 (coverage 53.0, openness 71.0, rank 68)","EXTENDED tier, COUNTRY proxy with concept drift: openness of NATIONAL official statistics, not municipal open data."
Toronto,SMT-04,Open data (national),Smart,Digital Governance,index,higher,Country proxy,none,78,2024/25,"ODIN 2024/25 — Canada: overall 78.0 (coverage 77.0, openness 80.0, rank 21)","EXTENDED tier, COUNTRY proxy with concept drift: openness of NATIONAL official statistics, not municipal open data."
Berlin,SMT-04,Open data (national),Smart,Digital Governance,index,higher,Country proxy,none,79,2024/25,"ODIN 2024/25 — Germany: overall 79.0 (coverage 71.0, openness 86.0, rank 17)","EXTENDED tier, COUNTRY proxy with concept drift: openness of NATIONAL official statistics, not municipal open data."
Barcelona,SMT-04,Open data (national),Smart,Digital Governance,index,higher,Country proxy,none,77,2024/25,"ODIN 2024/25 — Spain: overall 77.0 (coverage 78.0, openness 77.0, rank 24)","EXTENDED tier, COUNTRY proxy with concept drift: openness of NATIONAL official statistics, not municipal open data."
Dubai,SMT-04,Open data (national),Smart,Digital Governance,index,higher,Country proxy,none,85,2024/25,"ODIN 2024/25 — United Arab Emirates: overall 85.0 (coverage 74.0, openness 95.0, rank 9)","EXTENDED tier, COUNTRY proxy with concept drift: openness of NATIONAL official statistics, not municipal open data."
San Francisco,SMT-04,Open data (national),Smart,Digital Governance,index,higher,Country proxy,none,78,2024/25,"ODIN 2024/25 — United States: overall 78.0 (coverage 70.0, openness 85.0, rank 21)","EXTENDED tier, COUNTRY proxy with concept drift: openness of NATIONAL official statistics, not municipal open data."
Stockholm,SMT-04,Open data (national),Smart,Digital Governance,index,higher,Country proxy,none,83,2024/25,"ODIN 2024/25 — Sweden: overall 83.0 (coverage 78.0, openness 86.0, rank 11)","EXTENDED tier, COUNTRY proxy with concept drift: openness of NATIONAL official statistics, not municipal open data."
Oslo,SMT-04,Open data (national),Smart,Digital Governance,index,higher,Country proxy,none,89,2024/25,"ODIN 2024/25 — Norway: overall 89.0 (coverage 80.0, openness 96.0, rank 4)","EXTENDED tier, COUNTRY proxy with concept drift: openness of NATIONAL official statistics, not municipal open data."
Helsinki,SMT-04,Open data (national),Smart,Digital Governance,index,higher,Country proxy,none,89,2024/25,"ODIN 2024/25 — Finland: overall 89.0 (coverage 82.0, openness 95.0, rank 4)","EXTENDED tier, COUNTRY proxy with concept drift: openness of NATIONAL official statistics, not municipal open data."
Madrid,SMT-04,Open data (national),Smart,Digital Governance,index,higher,Country proxy,none,77,2024/25,"ODIN 2024/25 — Spain: overall 77.0 (coverage 78.0, openness 77.0, rank 24)","EXTENDED tier, COUNTRY proxy with concept drift: openness of NATIONAL official statistics, not municipal open data."
Milan,SMT-04,Open data (national),Smart,Digital Governance,index,higher,Country proxy,none,76,2024/25,"ODIN 2024/25 — Italy: overall 76.0 (coverage 73.0, openness 78.0, rank 29)","EXTENDED tier, COUNTRY proxy with concept drift: openness of NATIONAL official statistics, not municipal open data."
Rome,SMT-04,Open data (national),Smart,Digital Governance,index,higher,Country proxy,none,76,2024/25,"ODIN 2024/25 — Italy: overall 76.0 (coverage 73.0, openness 78.0, rank 29)","EXTENDED tier, COUNTRY proxy with concept drift: openness of NATIONAL official statistics, not municipal open data."
Munich,SMT-04,Open data (national),Smart,Digital Governance,index,higher,Country proxy,none,79,2024/25,"ODIN 2024/25 — Germany: overall 79.0 (coverage 71.0, openness 86.0, rank 17)","EXTENDED tier, COUNTRY proxy with concept drift: openness of NATIONAL official statistics, not municipal open data."
Frankfurt,SMT-04,Open data (national),Smart,Digital Governance,index,higher,Country proxy,none,79,2024/25,"ODIN 2024/25 — Germany: overall 79.0 (coverage 71.0, openness 86.0, rank 17)","EXTENDED tier, COUNTRY proxy with concept drift: openness of NATIONAL official statistics, not municipal open data."
Hamburg,SMT-04,Open data (national),Smart,Digital Governance,index,higher,Country proxy,none,79,2024/25,"ODIN 2024/25 — Germany: overall 79.0 (coverage 71.0, openness 86.0, rank 17)","EXTENDED tier, COUNTRY proxy with concept drift: openness of NATIONAL official statistics, not municipal open data."
Brussels,SMT-04,Open data (national),Smart,Digital Governance,index,higher,Country proxy,none,54,2024/25,"ODIN 2024/25 — Belgium: overall 54.0 (coverage 52.0, openness 55.0, rank 105)","EXTENDED tier, COUNTRY proxy with concept drift: openness of NATIONAL official statistics, not municipal open data."
Dublin,SMT-04,Open data (national),Smart,Digital Governance,index,higher,Country proxy,none,77,2024/25,"ODIN 2024/25 — Ireland: overall 77.0 (coverage 60.0, openness 91.0, rank 24)","EXTENDED tier, COUNTRY proxy with concept drift: openness of NATIONAL official statistics, not municipal open data."
Lisbon,SMT-04,Open data (national),Smart,Digital Governance,index,higher,Country proxy,none,83,2024/25,"ODIN 2024/25 — Portugal: overall 83.0 (coverage 71.0, openness 93.0, rank 11)","EXTENDED tier, COUNTRY proxy with concept drift: openness of NATIONAL official statistics, not municipal open data."
Prague,SMT-04,Open data (national),Smart,Digital Governance,index,higher,Country proxy,none,63,2024/25,"ODIN 2024/25 — Czech Republic: overall 63.0 (coverage 58.0, openness 67.0, rank 68)","EXTENDED tier, COUNTRY proxy with concept drift: openness of NATIONAL official statistics, not municipal open data."
